policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,2904,0.6879886282871357,2904,1317,34,66,16.560681910431608,4.096078184790615,22.01762462185979
advisory,4221,3174,0.751954513148543,3174,1047,58,42,38.47923149776756,13.991340746995311,29.356832829146388
