epoch,train_loss,validation_loss
1,0.6217600005463912,1.6001489063103993
2,0.337992515701514,1.2682903110980988
3,0.30210121642225063,1.5118066171805065
4,0.2706427176196415,1.4127239882946014
5,0.2634616598773461,1.6328263183434804
6,0.2483813317062763,1.2733920017878215
7,0.2269228804641618,1.5658049782117207
8,0.22735672850663272,1.3848550021648407
9,0.21964674023911357,1.46195982893308
10,0.20737345976969943,1.5401361385981243
11,0.19239180379260618,1.6862313052018483
12,0.18037869401562673,1.4449466466903687
