,Load,Motor,Propeller,Sensor,Voltage
Load,5207,2,8,929,344
Motor,146,15455,930,907,5577
Propeller,0,28,1735,293,49
Sensor,69,438,0,9900,3347
Voltage,0,78,107,305,212
