pair,flight_count
LIRU->LIRA,2
LIRA->LIRU,2
LIRL->LIRA,2
LILN->LSZA,2
LIMA->LIMF,2
LICC->LICZ,2
LILN->LIMC,2
LIBN->LIBG,2
LGAV->LGEL,2
EFHA->EFJY,2
EFJY->EFHA,2
KGRF->PHIK,2
KGRK->KTPL,2
KCYS->KFNL,2
KDAA->KADW,2
KFHU->KGRK,2
KFAT->KSLI,2
KFAY->KPOB,2
KEND->KIAB,2
KEND->KPNC,2
KEWN->KNKT,2
KEGI->KDTS,2
KDMA->KTUS,2
KBIF->KELP,2
ETHN->ETSH,2
ETIH->ETHL,2
ETIH->ETSI,2
ETHB->ETNW,2
ETHC->EDDV,2
KBIF->KFTK,2
KDAA->KNYG,2
KCSG->KLSF,2
KBDR->KHVN,2
KBFM->KNSE,2
LFPN->LFPO,2
LSMA->LSME,2
LSMD->LSMA,2
LSME->LSZA,2
LLBG->LLEK,2
LKPD->LKCV,2
RPLL->RPLB,2
RKSS->RKSW,2
RKSW->RKSG,2
ROAH->RODN,2
RODN->RJFS,2
ETHL->EDFZ,2
ETHL->ETSH,2
RKSG->RKSS,2
RPVM->RPLL,2
SBKP->SBGR,2
RODN->ROAH,2
RODN->YPPH,2
RORE->RODN,2
RPLB->RPLC,2
HKRE->HKJK,2
ETNT->ETMN,2
ETOU->EPGD,2
ETSL->ETSI,2
SBSP->SBJH,2
TJSJ->TJIG,2
CYMJ->CYQG,1
YWSL->YWLM,1
BGGH->SKBO,1
BIKF->PHIK,1
CYAV->CYWG,1
CYHZ->CYWG,1
CYHZ->CYYJ,1
YSHT->YWSL,1
YSCN->YSBK,1
YSBK->YWLM,1
YSBK->YBOK,1
YPPH->YGEL,1
YPPH->RODN,1
YPDN->PHNG,1
WARR->WAHH,1
WIDD->WSSS,1
WIDN->WARR,1
WIHH->WAHH,1
CYXX->KDYS,1
CYXX->KLRF,1
CYXX->KNUW,1
CYXX->KSDM,1
CYXX->RJTY,1
CYYC->CYOW,1
CYYJ->KNUW,1
CYYT->EGMD,1
CYZR->KYIP,1
CZAM->CYQB,1
YBTL->YAMB,1
YGLI->YAMB,1
ETNG->LFPO,1
ETNH->ETHF,1
ETSI->ETSB,1
ETSI->EYKA,1
ETSL->EDNY,1
ETSN->EDDK,1
ETSN->ETNN,1
EYSA->LFBU,1
EYVI->EPGD,1
ETNN->KSMF,1
ETNN->KTIW,1
ETNN->LTAN,1
ETNS->EDDB,1
ETNS->EKSP,1
ETNT->EDHI,1
CYPG->CYAV,1
ETSB->ETAR,1
ETSB->KCHS,1
ETSH->EDSB,1
ETSH->ETHL,1
ETSH->ETSI,1
ETNW->EDDH,1
ETNW->EDLW,1
ETNW->ETND,1
ETNW->ETSN,1
ETOU->EDDF,1
ETOU->EDFZ,1
ETOU->ETIC,1
ETMN->ETSN,1
ETND->ETNG,1
ETND->ETSH,1
ETNG->EYPP,1
FALA->HKRE,1
FASK->FAWK,1
FAWK->FASK,1
FNBJ->FNLU,1
FNLU->EGPK,1
FQMA->FALA,1
GCFV->LPPD,1
GMTT->GMFF,1
GMTT->GMMP,1
GOOY->GOBD,1
HKJK->HKNW,1
HKNW->OMAD,1
HKRE->HKNW,1
KABI->KDYS,1
KABI->KMCN,1
ETSB->EDDL,1
KAGC->KPIT,1
KAKR->KCAK,1
KAKR->KYNG,1
KABQ->KHII,1
KABQ->KHOP,1
KABQ->KSUU,1
KABQ->KTIK,1
KABQ->KTRM,1
KABY->KVAD,1
KACT->KNIP,1
KACT->KSUU,1
KACY->ETSB,1
KACY->KFFO,1
KACY->KNQA,1
KADH->KSPS,1
KADH->KTIK,1
KAND->KLAN,1
KAOO->KMDT,1
KAPA->KCVS,1
KAPA->KEGI,1
KAPF->KEYW,1
KAPG->KMRB,1
KART->KABE,1
KADW->KDCA,1
KADW->KDOV,1
KADW->KFME,1
KADW->KHPN,1
KADW->KNHK,1
KADW->OMAA,1
KADW->PHNL,1
KADW->WSAP,1
KAFW->KDLF,1
KALM->KCOS,1
KAMA->KABQ,1
ETNH->ETNT,1
ETNL->EDAC,1
ETNL->EDBN,1
ETNN->EDDL,1
ETNN->EDGS,1
ETNN->EGXH,1
ETNN->ETHN,1
ETNN->KHGR,1
ETHN->EDUZ,1
ETHN->ETHF,1
ETHN->ETHL,1
ETHN->ETNN,1
ETHN->ETOU,1
KAND->KFOE,1
KBGR->KBHB,1
KBGR->KPIB,1
KBHM->KMXF,1
KATL->KMGE,1
KAUG->KTIK,1
KAUS->KBAZ,1
KAUS->KCXO,1
KAUS->KGRK,1
KAUS->KRIC,1
KBAF->EDFM,1
KBAF->EGPK,1
KBAF->KDMA,1
KBAF->KDXR,1
KBAK->KFTK,1
KBDL->KBGR,1
KALI->KNGP,1
KBIX->KGPT,1
KBKF->KAPA,1
KBKF->KBJC,1
KBKF->KFCS,1
KBKF->KLIT,1
KBLV->KBIS,1
KBDL->KDMA,1
KBDL->KSCH,1
KBDR->KISP,1
KBDR->KNCA,1
KBFI->KNTD,1
KBFI->KNUW,1
KBFI->KPAE,1
KBFI->KTIW,1
KBFM->KMOB,1
KBFM->KROC,1
KBUF->KSRR,1
KBVY->KBED,1
KBWG->KLEX,1
KBYI->KOMA,1
KBYS->KDAG,1
KCAK->KGTB,1
KCAK->KPKB,1
KCAK->KYNG,1
KCBM->KMSL,1
KBIF->KGRK,1
KBIF->KNKX,1
KBIF->KPHX,1
KBIF->KTCS,1
KBIL->KHLN,1
KBIL->KPAE,1
KBIS->KSGF,1
KBNA->KBWG,1
KBNA->KGRK,1
KBNA->KHOP,1
KBNA->KMQY,1
ETIH->ETNN,1
ETMN->EDDW,1
ETMN->EDMO,1
ETMN->ENBR,1
ETMN->ETIH,1
ETMN->ETNS,1
ETMN->ETNT,1
ETAR->LRBV,1
ETAR->PAED,1
ETHB->EDVK,1
ETHC->ETHS,1
KBPT->LIMC,1
KCBM->KTUP,1
KCCR->KMHR,1
KCCR->KSTL,1
KCDS->KCOS,1
KCDS->KLTS,1
KCEW->KCOS,1
KCEW->KMGM,1
KCEW->KNKX,1
KCHS->ETSB,1
KCHS->KAGC,1
KCHS->KBLI,1
KCHS->KCHO,1
KCHS->KFFO,1
KCHS->KISO,1
KBMG->KGTB,1
KBNA->KBAK,1
KCRG->KXMR,1
KCRP->KLRD,1
KCRQ->KMYV,1
KCRQ->KRIV,1
KCHS->KTXK,1
KCLL->KIAH,1
KCLL->KNZY,1
KCLM->KNRB,1
KCLT->KMMT,1
KCLT->KWRI,1
KCOS->KDYS,1
KCOS->KHOP,1
KCOS->KLAW,1
KCOS->KLNK,1
