epoch,train_loss,val_loss
1,17.003535607965983,2304.853271484375
2,16.87029128539853,2253.2685546875
3,16.669797722886248,2174.204345703125
4,16.429328720744063,2079.6826171875
5,16.177523781613605,1951.2720947265625
6,15.884270487762079,1801.4697265625
7,15.602836088436407,1628.3592529296875
8,15.11480045609358,1448.473388671875
9,14.31260162446557,1287.986328125
10,13.449323357605353,1078.9013671875
11,12.238594697742927,969.1740112304688
12,10.678889472310136,1008.0094604492188
13,9.686480039503516,1091.2794189453125
14,8.677927872029747,1111.1829833984375
15,7.646159093554427,1167.18896484375
16,7.1906001393387955,1259.5474853515625
