policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,2070,0.4904051172707889,2070,2151,1,89,0.5585725368502715,0.6721150545340664,26.29945694336695
advisory,4221,2591,0.6138355839848377,2591,1630,16,74,8.937160589604344,2.580054564179158,31.885182311869666
