policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,139,0.5864978902953587
advisory,HIL,Motor,744,436,0.5860215053763441
advisory,HIL,Propeller,387,317,0.8191214470284238
advisory,HIL,Sensor,552,190,0.3442028985507246
advisory,HIL,Voltage,30,7,0.23333333333333334
advisory,Real,Motor,196,71,0.3622448979591837
advisory,Real,Sensor,158,15,0.0949367088607595
advisory,SIL,Load,237,174,0.7341772151898734
advisory,SIL,Motor,744,657,0.8830645161290323
advisory,SIL,Propeller,354,335,0.9463276836158192
advisory,SIL,Sensor,552,236,0.427536231884058
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,113,0.4767932489451477
critical,HIL,Motor,744,258,0.3467741935483871
critical,HIL,Propeller,387,246,0.6356589147286822
critical,HIL,Sensor,552,151,0.27355072463768115
critical,HIL,Voltage,30,3,0.1
critical,Real,Motor,196,53,0.27040816326530615
critical,Real,Sensor,158,0,0.0
critical,SIL,Load,237,161,0.679324894514768
critical,SIL,Motor,744,573,0.7701612903225806
critical,SIL,Propeller,354,313,0.884180790960452
critical,SIL,Sensor,552,190,0.3442028985507246
critical,SIL,Voltage,30,9,0.3
