policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,117,0.4936708860759494
advisory,HIL,Motor,744,432,0.5806451612903226
advisory,HIL,Propeller,387,338,0.8733850129198967
advisory,HIL,Sensor,552,157,0.28442028985507245
advisory,HIL,Voltage,30,9,0.3
advisory,Real,Motor,196,60,0.30612244897959184
advisory,Real,Sensor,158,24,0.1518987341772152
advisory,SIL,Load,237,190,0.8016877637130801
advisory,SIL,Motor,744,679,0.9126344086021505
advisory,SIL,Propeller,354,336,0.9491525423728814
advisory,SIL,Sensor,552,219,0.3967391304347826
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,99,0.4177215189873418
critical,HIL,Motor,744,293,0.39381720430107525
critical,HIL,Propeller,387,294,0.7596899224806202
critical,HIL,Sensor,552,127,0.23007246376811594
critical,HIL,Voltage,30,5,0.16666666666666666
critical,Real,Motor,196,51,0.2602040816326531
critical,Real,Sensor,158,17,0.10759493670886076
critical,SIL,Load,237,168,0.7088607594936709
critical,SIL,Motor,744,627,0.842741935483871
critical,SIL,Propeller,354,321,0.9067796610169492
critical,SIL,Sensor,552,174,0.31521739130434784
critical,SIL,Voltage,30,12,0.4
