epoch,train_loss,validation_loss
1,10.64167002085093,6.60048770904541
2,7.336659212370177,6.4180121421813965
3,6.579004828994338,5.5452494621276855
4,5.260590759483543,4.21799373626709
5,4.5604946291124495,2.7947912216186523
6,4.118419814754176,2.465627908706665
7,3.875464336292164,2.287712574005127
8,3.51317742708567,2.0874979496002197
9,3.1957336631981104,1.978797197341919
10,3.1866663468850627,1.8981035947799683
11,3.0048234591612943,1.8210275173187256
12,2.832019258189846,1.7356888055801392
13,2.812785399926675,1.6906652450561523
14,2.6486183759328483,1.6180691719055176
15,2.5707672673302726,1.5620790719985962
16,2.4754831339861894,1.5041062831878662
17,2.3557057058489,1.4391456842422485
18,2.323523572973303,1.3785011768341064
19,2.2263039737134367,1.328381896018982
20,2.218852516767141,1.3128069639205933
21,2.082079996933808,1.2543610334396362
22,2.0561826680157638,1.2365868091583252
23,1.9910594998179256,1.1992300748825073
24,1.9013245427930676,1.168441653251648
25,1.841210584382753,1.134232997894287
