validation_normal_quantile,threshold,events,detected,event_recall,nofault_false_alarm_events,nofault_exposure_hours,nofault_fa_per_hour,all_nonfault_false_alarm_events,all_nonfault_exposure_hours,all_nonfault_fa_per_hour,environment_alarm_events,environment_exposure_hours,environment_alarms_per_hour,flight_tp,flight_fn,flight_fp,flight_tn
0.8,4.802736759185791,4337,1824,0.42056721235877337,10,1.1411111111111112,8.763388510223953,995,55.8925,17.802030683902135,571,21.634722222222223,26.392758554278743,1824,2513,8,64
0.8114705882352942,5.480773222446442,4337,1474,0.33986626700484207,10,1.1411111111111112,8.763388510223953,921,55.8925,16.4780605626873,477,21.634722222222223,22.047891121525325,1474,2863,8,64
0.8229411764705883,5.954532742500307,4337,1260,0.29052340327415266,10,1.1411111111111112,8.763388510223953,857,55.8925,15.333005322717717,437,21.634722222222223,20.199011362906848,1260,3077,8,64
0.8344117647058824,6.456152641773226,4337,1031,0.2377219275997233,13,1.1411111111111112,11.392405063291138,762,55.8925,13.633313950887866,369,21.634722222222223,17.05591577325544,1031,3306,8,64
0.8458823529411765,6.96022219657898,4337,869,0.20036891860733225,11,1.1411111111111112,9.639727361246347,655,55.8925,11.718924721563717,319,21.634722222222223,14.744816074982346,869,3468,7,65
0.8573529411764707,7.320737063884738,4337,786,0.1812312658519714,5,1.1411111111111112,4.381694255111976,588,55.8925,10.520195017220558,274,21.634722222222223,12.66482634653656,786,3551,4,68
0.8688235294117648,7.603838872909546,4337,708,0.16324648374452386,5,1.1411111111111112,4.381694255111976,567,55.8925,10.144473766605538,243,21.634722222222223,11.23194453360724,708,3629,4,68
0.8802941176470589,7.959469425678254,4337,663,0.15287064791330413,5,1.1411111111111112,4.381694255111976,553,55.8925,9.893992932862192,213,21.634722222222223,9.845284714643384,663,3674,4,68
0.891764705882353,8.248828887939453,4337,603,0.13903620013834447,4,1.1411111111111112,3.505355404089581,531,55.8925,9.500380194122647,186,21.634722222222223,8.597290877575913,603,3734,4,68
0.9032352941176471,8.659647464752206,4337,505,0.11643993543924372,4,1.1411111111111112,3.505355404089581,517,55.8925,9.2498993603793,171,21.634722222222223,7.903960968093984,505,3832,4,68
0.9147058823529411,9.244365692138672,4337,409,0.09430481899930827,4,1.1411111111111112,3.505355404089581,512,55.8925,9.160441919756677,140,21.634722222222223,6.471079155164666,409,3928,4,68
0.9261764705882353,9.935977435112,4337,323,0.07447544385519944,4,1.1411111111111112,3.505355404089581,478,55.8925,8.552131323522834,127,21.634722222222223,5.870193233613661,323,4014,4,68
0.9376470588235294,10.517065238952636,4337,272,0.06271616324648374,4,1.1411111111111112,3.505355404089581,512,55.8925,9.160441919756677,111,21.634722222222223,5.130641330166271,272,4065,4,68
0.9491176470588235,11.082701253890992,4337,244,0.05626008761816924,3,1.1411111111111112,2.629016553067186,489,55.8925,8.748937692892607,106,21.634722222222223,4.899531360338961,244,4093,3,69
0.9605882352941176,11.747807455062864,4337,234,0.05395434632234263,3,1.1411111111111112,2.629016553067186,477,55.8925,8.53423983539831,93,21.634722222222223,4.298645438787957,234,4103,3,69
0.9720588235294118,12.345863342285156,4337,217,0.050034586119437396,3,1.1411111111111112,2.629016553067186,451,55.8925,8.069061144160665,89,21.634722222222223,4.113757462926109,217,4120,3,69
0.9835294117647059,13.308870315551767,4337,200,0.04611482591653217,2,1.1411111111111112,1.7526777020447906,410,55.8925,7.335510131055151,83,21.634722222222223,3.8364254991333375,200,4137,2,70
0.995,15.381281828880306,4337,118,0.027207747290753977,0,1.1411111111111112,0.0,305,55.8925,5.456903877980051,61,21.634722222222223,2.8195416318931756,118,4219,0,72
0.997,15.602623677253717,4337,110,0.02536315425409269,0,1.1411111111111112,0.0,293,55.8925,5.242206020485754,60,21.634722222222223,2.773319637927714,110,4227,0,72
0.999,16.059084033966062,4337,95,0.021904542310352777,0,1.1411111111111112,0.0,261,55.8925,4.6696784005009615,60,21.634722222222223,2.773319637927714,95,4242,0,72
0.9995,16.212643947601347,4337,91,0.020982245792022135,0,1.1411111111111112,0.0,256,55.8925,4.580220959878338,60,21.634722222222223,2.773319637927714,91,4246,0,72
0.9999,16.470183171272243,4337,83,0.01913765275536085,0,1.1411111111111112,0.0,232,55.8925,4.150825244889744,58,21.634722222222223,2.68087564999679,83,4254,0,72
0.99995,16.547009844303275,4337,79,0.018215356237030206,0,1.1411111111111112,0.0,230,55.8925,4.1150422686406944,58,21.634722222222223,2.68087564999679,79,4258,0,72
0.99999,16.608471182727843,4337,76,0.017523633848282223,0,1.1411111111111112,0.0,229,55.8925,4.09715078051617,57,21.634722222222223,2.634653656031328,76,4261,0,72
1.0,16.623836517333984,4337,76,0.017523633848282223,0,1.1411111111111112,0.0,228,55.8925,4.079259292391645,56,21.634722222222223,2.588431662065866,76,4261,0,72
