severity,injection_type,events,detected,event_recall,median_delay_s
easy,altitude_bias,29,28,0.9655172413793104,0.0
easy,coherent_route_drift,33,27,0.8181818181818182,4.009999990463257
easy,freeze,30,27,0.9,7.259999990463257
easy,position_drift,37,30,0.8108108108108109,6.084999918937683
easy,position_jump,28,27,0.9642857142857143,0.0
easy,speed_bias,26,17,0.6538461538461539,0.0
easy,track_bias,35,26,0.7428571428571429,0.0
easy,vertical_rate_bias,32,25,0.78125,0.0
medium,altitude_bias,29,26,0.896551724137931,0.0
medium,coherent_route_drift,33,26,0.7878787878787878,13.449999809265137
medium,freeze,30,24,0.8,4.679999947547913
medium,position_drift,37,27,0.7297297297297297,35.91000008583069
medium,position_jump,28,27,0.9642857142857143,0.0
medium,speed_bias,26,19,0.7307692307692307,0.0
medium,track_bias,35,28,0.8,0.0
medium,vertical_rate_bias,32,25,0.78125,0.0
