split,seed,architecture,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm,lstm_relerr,threshold,critical,393,0,0.0,8,34.15531734333333,0.2342241449430273,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,393,0,0.0,27,34.15531734333333,0.7905064891827172,,
split_00,0,lstm,lstm_relerr,cusum,critical,393,23,0.058524173027989825,134,34.15531734333333,3.9232544277957073,36.97863826086957,111.07419599999997
split_00,0,lstm,lstm_relerr,threshold,advisory,393,5,0.01272264631043257,157,34.15531734333333,4.596648844506911,31.599371200000007,71.986897
split_00,0,lstm,lstm_relerr,k_of_n,advisory,393,42,0.10687022900763359,574,34.15531734333333,16.80558239966221,12.81442773809524,51.96623799999999
split_00,0,lstm,lstm_relerr,cusum,advisory,393,83,0.21119592875318066,625,34.15531734333333,18.298761323674007,13.045397722891568,51.998351000000014
split_00,0,lstm,lstm_rankpct,threshold,critical,393,77,0.19592875318066158,517,34.15531734333333,15.136735366943139,6.944384155844156,41.060598
split_00,0,lstm,lstm_rankpct,k_of_n,critical,393,82,0.20865139949109415,505,34.15531734333333,14.785399149528597,7.667657134146341,39.07885900000001
split_00,0,lstm,lstm_rankpct,cusum,critical,393,47,0.11959287531806616,198,34.15531734333333,5.797047587339926,19.21332217021277,86.99763399999995
split_00,0,lstm,lstm_rankpct,threshold,advisory,393,154,0.39185750636132316,1984,34.15531734333333,58.08758794587077,4.438789038961037,52.026478
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,393,107,0.272264631043257,955,34.15531734333333,27.960507302573884,10.003952663551402,168.9904059999999
split_00,0,lstm,lstm_rankpct,cusum,advisory,393,96,0.24427480916030533,593,34.15531734333333,17.361864743901897,12.759869999999998,54.092416
split_01,1,lstm,lstm_relerr,threshold,critical,393,5,0.01272264631043257,102,33.828754295833335,3.0151864034958944,5.429576599999985,15.064360999999963
split_01,1,lstm,lstm_relerr,k_of_n,critical,393,20,0.05089058524173028,436,33.828754295833335,12.888443842394215,8.247061850000005,74.06482
split_01,1,lstm,lstm_relerr,cusum,critical,393,40,0.10178117048346055,465,33.828754295833335,13.74570272181952,22.739582074999998,79.93473900000002
split_01,1,lstm,lstm_relerr,threshold,advisory,393,53,0.13486005089058525,1234,33.828754295833335,36.47784335209739,8.78638158490566,98.92911600000002
split_01,1,lstm,lstm_relerr,k_of_n,advisory,393,61,0.15521628498727735,1272,33.828754295833335,37.60114809065468,6.303808459016392,37.838503
split_01,1,lstm,lstm_relerr,cusum,advisory,393,69,0.17557251908396945,1028,33.828754295833335,30.38834924307627,12.457122855072464,43.111999000000026
split_01,1,lstm,lstm_rankpct,threshold,critical,393,73,0.18575063613231552,812,33.828754295833335,24.003248623908494,5.59827489041096,61.07983399999999
split_01,1,lstm,lstm_rankpct,k_of_n,critical,393,61,0.15521628498727735,448,33.828754295833335,13.243171654570203,7.485096950819673,63.105069
split_01,1,lstm,lstm_rankpct,cusum,critical,393,34,0.08651399491094147,201,33.828754295833335,5.941690853947792,23.12001308823529,87.14298600000001
