,Load,Motor,Propeller,Sensor,Voltage
Load,5074,11,0,525,283
Motor,25,5985,4247,1845,485
Propeller,0,0,0,0,0
Sensor,83,3580,4,10904,2402
Voltage,0,0,0,0,0
