epoch,train_loss,validation_loss
1,6.489518676141296,5.585460662841797
2,4.102649060162631,4.5328192710876465
3,3.1776643834932887,3.5253169536590576
4,2.571739436400057,3.0073516368865967
5,2.217807973274077,2.7986130714416504
6,2.0724134264570293,2.6511552333831787
7,1.9137309488624032,2.4878172874450684
8,1.7853439877731632,2.3739430904388428
9,1.676137453377849,2.2526748180389404
10,1.6145676615262272,2.1297857761383057
11,1.5747627236626365,2.0511693954467773
12,1.4577314010774247,1.9613752365112305
13,1.4312839640511408,1.8732655048370361
14,1.4211355327355741,1.8357210159301758
15,1.3305474995362638,1.7938061952590942
16,1.3280949508300934,1.7299458980560303
17,1.292731720389742,1.706619143486023
18,1.2823809608064516,1.6588718891143799
19,1.21762968193401,1.6323436498641968
20,1.210830447649715,1.596123218536377
21,1.1821384598510434,1.5614650249481201
22,1.1803956922858652,1.5267565250396729
23,1.1544669541445645,1.5051414966583252
24,1.1402100216258655,1.477003812789917
25,1.0953737509371055,1.4583003520965576
