,Load,Motor,Propeller,Sensor,Voltage
Load,10461,307,1,2042,949
Motor,633,4886,0,132,21
Propeller,103,1703,1951,247,692
Sensor,579,802,80,12873,1005
Voltage,0,166,0,115,62
