split,seed,architecture,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,393,89,0.22646310432569974,227,34.15531734333333,6.646110112758399,6.27668757303371,53.089595
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,393,69,0.17557251908396945,189,34.15531734333333,5.53354542427902,7.55413311594203,55.094088
split_00,0,dense_ae,dense_ae_relerr,cusum,critical,393,51,0.1297709923664122,92,34.15531734333333,2.693577666844814,22.668381235294117,73.130816
split_00,0,dense_ae,dense_ae_relerr,threshold,advisory,393,116,0.2951653944020356,800,34.15531734333333,23.42241449430273,4.66161425,31.96318199999999
split_00,0,dense_ae,dense_ae_relerr,k_of_n,advisory,393,93,0.2366412213740458,631,34.15531734333333,18.474429432381278,5.921127935483868,32.057963
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,393,99,0.25190839694656486,360,34.15531734333333,10.540086522436228,14.043188010101009,72.98114900000002
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,393,108,0.2748091603053435,295,34.15531734333333,8.637015344774131,6.760216453703707,62.948477000000025
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,393,81,0.20610687022900764,224,34.15531734333333,6.558276058404765,7.7598892222222275,63.961658
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,393,39,0.09923664122137404,81,34.15531734333333,2.3715194675481515,26.57805776923078,73.86537400000002
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,393,121,0.30788804071246817,708,34.15531734333333,20.728836827457915,7.345664892561984,167.98227799999995
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,393,89,0.22646310432569974,498,34.15531734333333,14.58045302270345,9.308234213483148,168.9904059999999
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,393,105,0.26717557251908397,432,34.15531734333333,12.648103826923474,16.002380019047617,84.97321199999999
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,393,88,0.22391857506361323,214,33.828754295833335,6.3259793171384455,4.715902306818181,30.054137999999995
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,393,88,0.22391857506361323,323,33.828754295833335,9.548090277736998,4.417179659090909,31.056343999999996
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,393,53,0.13486005089058525,205,33.828754295833335,6.059933458006454,27.91094375471698,91.166051
split_01,1,dense_ae,dense_ae_relerr,threshold,advisory,393,94,0.23918575063613232,921,33.828754295833335,27.225359584507046,4.792118085106382,82.053406
split_01,1,dense_ae,dense_ae_relerr,k_of_n,advisory,393,77,0.19592875318066158,895,33.828754295833335,26.45678265812574,6.809693441558437,63.03238499999998
split_01,1,dense_ae,dense_ae_relerr,cusum,advisory,393,116,0.2951653944020356,932,33.828754295833335,27.550526745668368,11.674707336206893,58.93031300000001
split_01,1,dense_ae,dense_ae_rankpct,threshold,critical,393,123,0.31297709923664124,243,33.828754295833335,7.183238196563749,7.676249398373986,64.083507
split_01,1,dense_ae,dense_ae_rankpct,k_of_n,critical,393,97,0.24681933842239187,188,33.828754295833335,5.557402390757138,8.34304372164948,85.98408899999998
split_01,1,dense_ae,dense_ae_rankpct,cusum,critical,393,55,0.13994910941475827,165,33.828754295833335,4.877507417419829,27.917993799999998,69.021096
split_01,1,dense_ae,dense_ae_rankpct,threshold,advisory,393,99,0.25190839694656486,1562,33.828754295833335,46.17373688490772,5.1014600808080806,39.995192
split_01,1,dense_ae,dense_ae_rankpct,k_of_n,advisory,393,72,0.183206106870229,1006,33.828754295833335,29.738014920753624,6.240374944444438,32.057963
split_01,1,dense_ae,dense_ae_rankpct,cusum,advisory,393,130,0.33078880407124683,763,33.828754295833335,22.554776724189878,11.402564207692306,48.984072000000026
split_02,2,dense_ae,dense_ae_relerr,threshold,critical,393,86,0.21882951653944022,164,34.3213765025,4.778363128531692,5.6241800116279075,48.083859000000004
split_02,2,dense_ae,dense_ae_relerr,k_of_n,critical,393,83,0.21119592875318066,155,34.3213765025,4.516135883673245,6.325650108433732,40.071492000000006
split_02,2,dense_ae,dense_ae_relerr,cusum,critical,393,42,0.10687022900763359,95,34.3213765025,2.767954251283602,32.07417661904763,126.061238
