policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,151,106,0.7019867549668874
advisory,HIL,Sensor,121,71,0.5867768595041323
advisory,Real,Motor,16,4,0.25
advisory,Real,Sensor,38,1,0.02631578947368421
advisory,SIL,Load,43,27,0.627906976744186
advisory,SIL,Motor,81,81,1.0
advisory,SIL,Propeller,96,92,0.9583333333333334
advisory,SIL,Sensor,92,66,0.717391304347826
advisory,SIL,Voltage,6,3,0.5
critical,HIL,Load,151,55,0.36423841059602646
critical,HIL,Sensor,121,39,0.32231404958677684
critical,Real,Motor,16,5,0.3125
critical,Real,Sensor,38,0,0.0
critical,SIL,Load,43,8,0.18604651162790697
critical,SIL,Motor,81,80,0.9876543209876543
critical,SIL,Propeller,96,48,0.5
critical,SIL,Sensor,92,47,0.5108695652173914
critical,SIL,Voltage,6,1,0.16666666666666666
