policy,events,detected_events,event_recall,false_alarm_events,normal_exposure_hours,false_alarms_per_hour,median_detection_delay_s,confusion_flight,flight_tp,flight_fn,flight_fp,flight_tn
critical,644,283,0.4394409937888199,26,10.979722222222222,2.368001619146406,30.0,"{'tp': 283, 'fn': 361, 'fp': 0, 'tn': 40}",283,361,0,40
advisory,644,451,0.7003105590062112,130,10.979722222222222,11.840008095732031,21.0,"{'tp': 451, 'fn': 193, 'fp': 1, 'tn': 39}",451,193,1,39
