candidate,protocol,policy,event_recall_mean,event_recall_std,event_recall_min,event_recall_max,all_nonfault_fa_per_hour_mean,all_nonfault_fa_per_hour_std,all_nonfault_fa_per_hour_min,all_nonfault_fa_per_hour_max,wind_fa_per_hour_mean,wind_fa_per_hour_std,wind_fa_per_hour_min,wind_fa_per_hour_max,real_motor_recall_mean,real_motor_recall_std,real_motor_recall_min,real_motor_recall_max,real_sensor_recall_mean,real_sensor_recall_std,real_sensor_recall_min,real_sensor_recall_max,real_macro_recall_mean,real_macro_recall_std,real_macro_recall_min,real_macro_recall_max,real_normal_fa_per_hour_mean,real_normal_fa_per_hour_std,real_normal_fa_per_hour_min,real_normal_fa_per_hour_max,real_normal_alarm_flight_rate_mean,real_normal_alarm_flight_rate_std,real_normal_alarm_flight_rate_min,real_normal_alarm_flight_rate_max,real_gate_passed,wind_gate_passed
frozen_baseline,frozen_single_holdout,critical,0.6043117744610281,0.05541973416738306,0.5183605780620706,0.662165363657901,1.2788107262209543,0.3469578688223961,0.7330219187926696,1.6477659401480338,28.461784635934823,3.069364883492212,24.09383739860023,32.05832834740987,0.2020408163265306,0.10693614656372845,0.086734693877551,0.3469387755102041,0.08354430379746831,0.06996462585030623,0.0063291139240506,0.189873417721519,0.14279256006199945,0.06959209359461292,0.0465319039008008,0.19697752518729011,0.7991120976692574,1.0942293046718092,0.0,1.9977802441731434,0.02,0.027386127875258306,0.0,0.05,,
frozen_baseline,frozen_single_holdout,advisory,0.698365316275764,0.058456337248650604,0.6098081023454158,0.7616678512200901,3.643735218525479,1.319087279227162,2.298199863890679,5.303629177146963,31.537380511764457,2.2276763027872404,28.000946165940807,33.81151817890884,0.3112244897959183,0.057948044344900786,0.2142857142857142,0.3571428571428571,0.27341772151898736,0.15310700875147912,0.1265822784810126,0.4556962025316455,0.29232110565745284,0.08789303081562885,0.21473779385171785,0.3911134073882717,8.607011509443875,3.0887549832668917,6.112054329371832,11.98668146503886,0.16636363636363635,0.10080256457448583,0.09090909090909091,0.3,,
R1,nested_inner_outer,critical,0.5954986969912344,0.15217787757429968,0.4233593935086472,0.7882018479033405,3.2845590332471275,2.7782269918476983,0.9322886240311244,8.06507128494049,28.133546178923304,12.231472758355206,7.688884933701166,37.64486479286,0.2387755102040816,0.08847297735344158,0.1020408163265306,0.3418367346938775,0.220253164556962,0.14812019785950895,0.0,0.379746835443038,0.2295143373805218,0.0955204009487793,0.1332988891759235,0.3607917850684577,12.08297734731194,15.875768463455563,0.0,37.95782463928968,0.19818181818181818,0.2558731607264922,0.0,0.6,False,False
R1,nested_inner_outer,advisory,0.649940772328832,0.15708934579150374,0.4086709310589907,0.8031272210376688,8.3130287095332,4.52845766346674,2.493330041013472,12.655407833273443,32.8844500158903,11.766491059189889,12.814808222835277,42.141260028935946,0.2816326530612245,0.08456161297541918,0.1530612244897959,0.3622448979591837,0.2860759493670886,0.14607781408545892,0.0759493670886076,0.3987341772151899,0.2838543012141565,0.08585918463093453,0.1714673211056574,0.3702854559545337,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.36818181818181817,0.4644822942297075,0.0,0.9,,
W1,nested_inner_outer,critical,0.10784174366263914,0.11516349980138582,0.0262970859985785,0.3105899076048329,2.542722890545286,2.134071054601316,0.6070716621598019,6.043368779551095,7.853840495660203,9.370808260909119,0.0,23.674865184795472,0.2387755102040816,0.08847297735344158,0.1020408163265306,0.3418367346938775,0.220253164556962,0.14812019785950895,0.0,0.379746835443038,0.2295143373805218,0.0955204009487793,0.1332988891759235,0.3607917850684577,12.08297734731194,15.875768463455563,0.0,37.95782463928968,0.19818181818181818,0.2558731607264922,0.0,0.6,False,False
W1,nested_inner_outer,advisory,0.4197109689647003,0.1442037603424264,0.2677090736792229,0.6552949538024165,4.837098680994603,3.8642559848294074,1.7463169241825365,10.153962237033578,22.600485491831382,13.130301902386945,3.5240722612797013,40.48401946600026,0.2816326530612245,0.08456161297541918,0.1530612244897959,0.3622448979591837,0.2860759493670886,0.14607781408545892,0.0759493670886076,0.3987341772151899,0.2838543012141565,0.08585918463093453,0.1714673211056574,0.3702854559545337,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.36818181818181817,0.4644822942297075,0.0,0.9,,
W2,nested_inner_outer,critical,0.559014451551765,0.16201405267709856,0.2795546079128169,0.6879886282871357,2.652850716531466,1.22233986126999,1.1086755674716038,4.096078184790615,17.777422705144723,7.509788572331984,6.407404111417638,24.670287044220323,0.1061224489795918,0.09058098375988635,0.0306122448979591,0.2602040816326531,0.17468354430379743,0.15403300191380143,0.0126582278481012,0.360759493670886,0.14040299664169464,0.11722258121344437,0.0343903384138465,0.3104817876517696,3.788596204057842,2.8299697579810905,0.0,6.474820143884893,0.06636363636363636,0.04185768884807759,0.0,0.1,False,False
W2,nested_inner_outer,advisory,0.6426439232409381,0.18339990444600446,0.3186448708836769,0.751954513148543,7.131465012123954,3.9952896679671133,3.9885016169601135,13.991340746995313,24.563391057253835,13.194241328758089,7.368514728130284,38.36419341947516,0.26938775510204077,0.08971471281768678,0.1428571428571428,0.3775510204081632,0.36835443037974686,0.04890238929640976,0.3037974683544304,0.4177215189873418,0.3188710927408938,0.06620302916332467,0.2391500904159132,0.3976362696977525,23.390585316325105,23.339604770803707,6.1120543293718175,49.944506104328525,0.38636363636363635,0.400825594273611,0.0909090909090909,0.85,,
R2,nested_inner_outer,critical,0.5945984363894812,0.15048261970601653,0.4278606965174129,0.7867803837953091,3.2367377951489047,2.9046045024674707,0.6287527929512234,8.217242441260122,27.832314482117066,12.228186344642465,7.368514728130284,37.16531237511656,0.23367346938775507,0.09122528876972857,0.1071428571428571,0.3571428571428571,0.21772151898734177,0.14684362700894488,0.0,0.379746835443038,0.22569749418754842,0.09800062671062644,0.1326853526220615,0.3684448462929476,11.683421298477311,15.06625766790137,0.0,35.96004439511654,0.19818181818181818,0.2558731607264922,0.0,0.6,False,False
R2,nested_inner_outer,advisory,0.6479033404406538,0.15478939910031267,0.4093816631130064,0.7990997393982469,8.486145764026006,4.559829407748484,2.580054564179158,12.97879985627021,33.08977122914784,11.725556725848216,13.135178428406158,42.614757332631854,0.28367346938775506,0.0813611556639823,0.173469387755102,0.3571428571428571,0.2860759493670886,0.1391973465906191,0.0886075949367088,0.3987341772151899,0.2848747093774219,0.08196625061999233,0.1816714027383105,0.3753874967708602,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.36818181818181817,0.4644822942297075,0.0,0.9,,
