annotation_category,old_recall,old_fa_per_hour,new_recall,new_fa_per_hour,recall_delta
Velocity,0.9666666666666667,36.55956795121266,0.8,54.839351926818985,-0.16666666666666663
Position.X,0.4493827160493827,86.08276233362108,0.18482758620689654,18.748057546683334,-0.26455512984248614
Position.Y,0.4606060606060606,90.29064080301727,0.16041666666666665,22.75715616739087,-0.3001893939393939
Actuator Outputs,0.44266666666666665,67.23804967388192,0.12,10.743762930580335,-0.32266666666666666
Actuator Outputs+Controls,0.37723577235772354,65.65489953458467,0.08571428571428567,10.883641993340103,-0.29152148664343785
Actuator Controls,0.275,65.75490984957847,0.03529411764705882,11.340816155912917,-0.2397058823529412
Position.Z,0.05427728613569316,36.41127799789031,0.028099173553718958,2.902948358078367,-0.0261781125819742
Battery,0.03333333333333333,37.8197505610608,0.0,22.061521160618803,-0.03333333333333333
Actuator Thrust,0.2,56.31990748516533,0.0,0.0,-0.2
